,name,symbols,number_of_values,first_year,volumme,return_2014,return_2015,return_2016,return_2017,return_2018,return_2019,return_2020,return_2021,vol_2014,vol_2015,vol_2016,vol_2017,vol_2018,vol_2019,vol_2020,vol_2021,correlation_CAC40,correlation_NASDAQ,correlation_SP500,correlation_DAX,correlation_NIKKEI,correlation_MSCI World,correlation_EURO STOX 600
0,ETC Grp Dgtl Assts & Blckchn Eq ETF $Acc,1rTKOIN,323,2022,521.3962848297214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2181147289165672,0.4247869686320698,0.4610868656804869,0.22154024076588982,-0.08009896044962961,0.5289920792237663,0.4821174395181099
1,Amundi MSCI Semicon ESG Scrnd ETF Acc,1rTCHIP,2554,2014,6179.666014095536,0.19493088880342763,0.19985499241399593,0.22520438535944992,0.22039584956301284,0.25415734125147404,0.29085492564402443,0.3079881649241631,0.24093230590239997,0.27978248029989006,0.28254651406055514,0.284235594980397,0.30173476671675314,0.31403201851833645,0.3284371627510565,0.36438403618038234,0.39940773928163087,0.8738134993567961,0.9321354316178794,0.9479489905173623,0.910356621540771,0.9339626512761237,0.9422058786971252,0.8594615918793526
2,Mélanion BTC Eqs Universe ETF EUR,1rTBTC,747,2021,5124.378848728246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11497164053856655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693519049689453,0.12624647187163374,0.5377181042299138,0.4359022550645173,0.2683043930278354,0.09194890462681277,0.5013039209655795,0.41875197707894235
3,L&G Gold Mining ETF,1rAAUCO,2561,2014,6583.521671222179,0.11942305784681122,0.12511609452906838,0.08156216839680953,0.09014296397709722,0.12768069366855503,0.09524390148915732,0.023677368618347506,0.043406472285032076,0.2885033617259719,0.2910090211340231,0.23988047106915775,0.2366649804856942,0.23548257070413375,0.22079243670754375,0.17501421400003545,0.17266807908707224,0.6234896045466756,0.8112306625335999,0.8044197789435279,0.7117376450904093,0.6812498272446714,0.778374443507533,0.5823517635336888
4,Amundi Euro Stoxx Banks ETF Acc,1rTBNKE,2557,2014,39063.403989049664,0.07168386492787351,0.07428101741857235,0.11924369706166969,0.08535469120208423,0.11299885027877075,0.17052933356746713,0.27815425641793035,0.2099687832270667,0.3193015401618636,0.32372631720601197,0.314653525722871,0.3176003359963721,0.3299782216927097,0.33110675316148835,0.27553349628058077,0.21155148860737794,0.48181538592349005,0.08917836831910202,0.17458844011855984,0.443480355450634,0.4012732455936433,0.2361380226248998,0.5530282421564696
5,Amundi NYSE Arca Gold BUGS ETF USD Dis,1rAGLDU,1611,2018,1720.9733085040348,0.0,0.0,0.0,0.0,-0.041024003730694945,-0.09496109529020547,-0.15729510459202,-0.019068742526776327,0.0,0.0,0.0,0.0,0.39106248035178276,0.3804080795785913,0.3012186423578932,0.1643909576194785,-0.651133206895749,-0.6021281341460778,-0.6465981191762941,-0.6002573544791519,-0.642335410222879,-0.6527268025364654,-0.6269521410486789
6,Amundi NYSE Arca Gold BUGS ETF USD Dis,1rTGLDM,1034,2020,7547.045454545455,0.0,0.0,0.0,0.0,0.0,0.0,-0.010099690986900983,0.0074249119871978965,0.0,0.0,0.0,0.0,0.0,0.0,0.14338217595996347,0.13728172791176835,-0.22408489949626295,0.15158467771471895,0.04262285432493451,0.0759007460417151,-0.06357953978195251,0.0820459444153034,-0.05822828959552702
7,Amundi IS MSCI India ETF-C EUR,1rTCI2,2554,2014,430.0007830853563,0.0934292890513373,0.09526613776988521,0.11664495827068189,0.10988266528226165,0.1272655815005491,0.14156971203582402,0.20011359054254962,0.12840113006994444,0.18285343028909584,0.18511868986476962,0.18218043840267467,0.1926447370503716,0.20140022454026965,0.21579463486974965,0.19550713181336513,0.1521592386451481,0.9345467105715629,0.8496523040434298,0.9091009982170826,0.8983618355157975,0.919509470152993,0.9131682942185886,0.9192514779990515
8,Amundi MSCI India ETF Acc EUR,1rTINR,2557,2014,102172.1032459914,0.09269592586468943,0.09456990458501215,0.11586552750883546,0.10896394720058938,0.12631751139703007,0.1405907037518046,0.19940609469926357,0.12762022227322495,0.18338486559665282,0.18564071338897004,0.1828517571039211,0.193353807888297,0.20206727695518292,0.21674551862151342,0.1964427684899068,0.15334608956513074,0.9330070359063184,0.8508927843599026,0.9093092786121533,0.8967381593890801,0.9216279526442276,0.9112787803474952,0.9195203313327365
9,Amundi PEA Inde (MSCI India) ETFAcc,1rTPINR,2557,2014,5343.140789988268,0.09244856294516317,0.09442280315793217,0.11571187021261432,0.10877919770412661,0.12604028042791934,0.1403013667934683,0.19910365068408517,0.127313776005919,0.1833029935239309,0.18552582750554533,0.18270863488640599,0.19322254492241445,0.20198934556360335,0.2167026197977034,0.19645933787423936,0.15343082085518586,0.9327346176554414,0.8507701380931016,0.9092505552454172,0.8963658465315678,0.921378858963224,0.9112968664770064,0.919293782986722
